====iter_6600: fit=1.7263, reg=0.8754, thom=5.1585, thomf=4.9793, acc=0.5703
====iter_6700: fit=1.8327, reg=0.8816, thom=5.1568, thomf=4.9789, acc=0.4922
====iter_6800: fit=1.7567, reg=0.8872, thom=5.1574, thomf=4.9788, acc=0.5703
====iter_6900: fit=1.4709, reg=0.8942, thom=5.1567, thomf=4.9798, acc=0.6172
====iter_7000: fit=1.9601, reg=0.8975, thom=5.1565, thomf=4.9799, acc=0.5312
====iter_7100: fit=1.7165, reg=0.9023, thom=5.1561, thomf=4.9791, acc=0.5938
====iter_7200: fit=1.6378, reg=0.9079, thom=5.1562, thomf=4.9789, acc=0.5391
====iter_7300: fit=1.9321, reg=0.9129, thom=5.1555, thomf=4.9795, acc=0.5156
====iter_7400: fit=1.8410, reg=0.9155, thom=5.1561, thomf=4.9797, acc=0.4844
====iter_7500: fit=1.6880, reg=0.9210, thom=5.1548, thomf=4.9792, acc=0.5391
====iter_7600: fit=1.4572, reg=0.9260, thom=5.1548, thomf=4.9798, acc=0.5859
====iter_7700: fit=1.6777, reg=0.9296, thom=5.1538, thomf=4.9805, acc=0.5469
====iter_7800: fit=1.4003, reg=0.9319, thom=5.1546, thomf=4.9797, acc=0.6172
====iter_7900: fit=1.4786, reg=0.9359, thom=5.1538, thomf=4.9790, acc=0.5625
====iter_8000: fit=1.5756, reg=0.9418, thom=5.1536, thomf=4.9782, acc=0.5938
====iter_8100: fit=1.7037, reg=0.9453, thom=5.1535, thomf=4.9787, acc=0.5781
====iter_8200: fit=1.6579, reg=0.9477, thom=5.1538, thomf=4.9792, acc=0.5859
====iter_8300: fit=1.6156, reg=0.9529, thom=5.1526, thomf=4.9789, acc=0.5781
====iter_8400: fit=1.6526, reg=0.9568, thom=5.1536, thomf=4.9791, acc=0.5781
====iter_8500: fit=1.5508, reg=0.9618, thom=5.1529, thomf=4.9794, acc=0.5625
====iter_8600: fit=1.4954, reg=0.9629, thom=5.1526, thomf=4.9790, acc=0.5703
====iter_8700: fit=1.7026, reg=0.9669, thom=5.1521, thomf=4.9783, acc=0.5625
====iter_8800: fit=1.5432, reg=0.9718, thom=5.1517, thomf=4.9787, acc=0.5859
====iter_8900: fit=1.7211, reg=0.9739, thom=5.1524, thomf=4.9787, acc=0.5703
====iter_9000: fit=1.6787, reg=0.9753, thom=5.1517, thomf=4.9788, acc=0.5625
====iter_9100: fit=2.0533, reg=0.9798, thom=5.1517, thomf=4.9780, acc=0.4609
====iter_9200: fit=1.7013, reg=0.9828, thom=5.1514, thomf=4.9788, acc=0.5625
====iter_9300: fit=1.6942, reg=0.9840, thom=5.1517, thomf=4.9788, acc=0.5312
====iter_9400: fit=1.3835, reg=0.9889, thom=5.1509, thomf=4.9784, acc=0.6562
====iter_9500: fit=1.6777, reg=0.9943, thom=5.1518, thomf=4.9785, acc=0.5312
====iter_9600: fit=1.4658, reg=0.9965, thom=5.1516, thomf=4.9783, acc=0.5859
====iter_9700: fit=1.8012, reg=0.9960, thom=5.1512, thomf=4.9794, acc=0.5078
====iter_9800: fit=1.4738, reg=0.9987, thom=5.1515, thomf=4.9789, acc=0.5859
====iter_9900: fit=1.2749, reg=1.0018, thom=5.1511, thomf=4.9779, acc=0.6562
====iter_10000: fit=1.3924, reg=1.0052, thom=5.1516, thomf=4.9781, acc=0.6094
====iter_10100: fit=1.7402, reg=1.0084, thom=5.1506, thomf=4.9777, acc=0.5859
====iter_10200: fit=1.4721, reg=1.0099, thom=5.1508, thomf=4.9781, acc=0.5938
====iter_10300: fit=1.8366, reg=1.0139, thom=5.1510, thomf=4.9779, acc=0.5234
