====iter_6600: fit=1.8928, reg=0.7587, thom=5.1230, thomf=4.9812, acc=0.5000
====iter_6700: fit=1.8560, reg=0.7665, thom=5.1225, thomf=4.9805, acc=0.4766
====iter_6800: fit=2.0021, reg=0.7735, thom=5.1223, thomf=4.9810, acc=0.4609
====iter_6900: fit=1.6684, reg=0.7818, thom=5.1222, thomf=4.9815, acc=0.5391
====iter_7000: fit=1.6073, reg=0.7848, thom=5.1222, thomf=4.9806, acc=0.5469
====iter_7100: fit=1.8323, reg=0.7920, thom=5.1221, thomf=4.9803, acc=0.5391
====iter_7200: fit=1.5439, reg=0.7966, thom=5.1222, thomf=4.9797, acc=0.5781
====iter_7300: fit=1.7765, reg=0.8027, thom=5.1219, thomf=4.9800, acc=0.5234
====iter_7400: fit=1.8405, reg=0.8075, thom=5.1216, thomf=4.9813, acc=0.5078
====iter_7500: fit=1.6365, reg=0.8142, thom=5.1217, thomf=4.9795, acc=0.5625
====iter_7600: fit=1.7838, reg=0.8195, thom=5.1214, thomf=4.9804, acc=0.5312
====iter_7700: fit=1.7375, reg=0.8231, thom=5.1211, thomf=4.9806, acc=0.4844
====iter_7800: fit=1.7390, reg=0.8277, thom=5.1212, thomf=4.9804, acc=0.5469
====iter_7900: fit=1.8051, reg=0.8352, thom=5.1213, thomf=4.9793, acc=0.5078
====iter_8000: fit=1.9632, reg=0.8418, thom=5.1210, thomf=4.9801, acc=0.5234
====iter_8100: fit=1.7186, reg=0.8449, thom=5.1209, thomf=4.9803, acc=0.5703
====iter_8200: fit=1.6915, reg=0.8468, thom=5.1208, thomf=4.9806, acc=0.5781
====iter_8300: fit=1.6862, reg=0.8535, thom=5.1206, thomf=4.9794, acc=0.6016
====iter_8400: fit=1.8651, reg=0.8587, thom=5.1208, thomf=4.9789, acc=0.5156
====iter_8500: fit=1.9030, reg=0.8635, thom=5.1205, thomf=4.9800, acc=0.5156
====iter_8600: fit=1.7310, reg=0.8655, thom=5.1200, thomf=4.9796, acc=0.5234
====iter_8700: fit=1.6550, reg=0.8695, thom=5.1201, thomf=4.9784, acc=0.5859
====iter_8800: fit=1.6295, reg=0.8746, thom=5.1204, thomf=4.9788, acc=0.5703
====iter_8900: fit=1.6657, reg=0.8798, thom=5.1198, thomf=4.9793, acc=0.5703
====iter_9000: fit=1.6153, reg=0.8827, thom=5.1196, thomf=4.9794, acc=0.5547
====iter_9100: fit=1.5391, reg=0.8880, thom=5.1197, thomf=4.9788, acc=0.5469
====iter_9200: fit=1.7763, reg=0.8914, thom=5.1196, thomf=4.9796, acc=0.5234
====iter_9300: fit=1.8004, reg=0.8935, thom=5.1195, thomf=4.9792, acc=0.5547
====iter_9400: fit=1.4789, reg=0.8971, thom=5.1194, thomf=4.9785, acc=0.6172
====iter_9500: fit=1.4362, reg=0.9022, thom=5.1194, thomf=4.9788, acc=0.6094
====iter_9600: fit=1.5996, reg=0.9028, thom=5.1191, thomf=4.9789, acc=0.5469
====iter_9700: fit=1.6179, reg=0.9068, thom=5.1191, thomf=4.9790, acc=0.5703
====iter_9800: fit=1.5224, reg=0.9101, thom=5.1193, thomf=4.9778, acc=0.5703
====iter_9900: fit=1.8592, reg=0.9146, thom=5.1194, thomf=4.9785, acc=0.5234
====iter_10000: fit=1.6835, reg=0.9188, thom=5.1195, thomf=4.9792, acc=0.5703
====iter_10100: fit=1.7657, reg=0.9192, thom=5.1195, thomf=4.9793, acc=0.5391
====iter_10200: fit=1.8270, reg=0.9229, thom=5.1193, thomf=4.9786, acc=0.4844
====iter_10300: fit=1.5405, reg=0.9259, thom=5.1197, thomf=4.9788, acc=0.5391
====iter_10400: fit=1.8070, reg=0.9289, thom=5.1194, thomf=4.9794, acc=0.5312
====iter_10500: fit=1.8059, reg=0.9306, thom=5.1193, thomf=4.9786, acc=0.5391
====iter_10600: fit=1.5255, reg=0.9358, thom=5.1195, thomf=4.9788, acc=0.5391
====iter_10700: fit=1.7408, reg=0.9402, thom=5.1194, thomf=4.9781, acc=0.5469
